rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,dystopia,population,year,sqrt_of_population,posx
128,Botswana,Sub-Saharan Africa,4.332,0.99355,1.10464,0.047760000000000004,0.49495,0.10461,0.12474,1.46181,2120000.0,2015,1456.0219778561036,25.649163
129,Myanmar,Southeastern Asia,4.3069999999999995,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.79588,0.19034,1.41805,52700000.0,2015,7259.476565152614,99.543309
130,Georgia,Central and Eastern Europe,4.297,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.055470000000000005,0.38331,1.59541,4020000.0,2015,2004.9937655763422,41.554084
131,Malawi,Sub-Saharan Africa,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.33128,0.06977,2.8079099999999997,16700000.0,2015,4086.56334834051,34.559989
132,Sri Lanka,Southern Asia,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.40828000000000003,0.09179,0.67108,20900000.0,2015,4571.651780264984,81.787959
133,Cameroon,Sub-Saharan Africa,4.252,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.20618000000000003,0.05786,1.95071,23300000.0,2015,4827.007354458868,13.075822
134,Bulgaria,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,0.89991,7200000.0,2015,2683.281572999748,22.65715
135,Egypt,Middle East and Northern Africa,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,1.59927,92400000.0,2015,9612.491872558332,34.9226
136,Yemen,Middle East and Northern Africa,4.077,0.5464899999999999,0.68093,0.40064,0.35570999999999997,0.09131,0.07854,1.92313,26500000.0,2015,5147.815070493501,53.108573
137,Angola,Sub-Saharan Africa,4.033,0.75778,0.8604,0.16683,0.10384000000000002,0.12344000000000001,0.07122,1.9493900000000002,27900000.0,2015,5282.0450584977025,16.326528
138,Mali,Sub-Saharan Africa,3.995,0.26074,1.03526,0.20583,0.38856999999999997,0.18798,0.12352,1.79293,17400000.0,2015,4171.330722922842,-12.17075
