,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
31,32,France,Western Europe,6.478,3.457266772,3.734574917,3.235742424,0.9118921557,1.616289831,2016,3.736488558
32,33,Thailand,Southeastern Asia,6.474,2.699874322,2.893131222,3.443596589,4.401679438,0.2571287674,2016,3.884040226
33,34,Saudi Arabia,Middle East and Northern Africa,6.379,3.691860644,2.641411201,2.63407029,1.159137915,2.723586323,2016,3.153605562
35,36,Qatar,Middle East and Northern Africa,6.375,4.521527339,3.196550114,3.938805139,2.428812758,4.361023702,2016,3.27015242
36,37,Spain,Western Europe,6.361,3.327515169,3.917348254,2.609122231,1.324718333,0.5570064405,2016,4.198846859
37,38,Algeria,Middle East and Northern Africa,6.355,2.609060593,2.754480198,1.45977418,0.5282375284,1.466441756,2016,3.097097995
38,39,Guatemala,Latin America and Caribbean,6.324,2.068441308,2.408409737,3.500997973,2.160344508,0.7897202279,2016,3.238738674
39,40,Suriname,Latin America and Caribbean,6.269,2.71861209,2.269981553,3.62990786,1.249727202,1.1519514,2016,2.894748856
40,41,Kuwait,Middle East and Northern Africa,6.239,4.008147215,2.833142704,2.999743514,1.19723341,2.148245957,2016,3.262494158
41,42,Bahrain,Middle East and Northern Africa,6.218,3.569693376,2.927938824,3.292240397,1.285872927,2.339118459,2016,3.50930583
42,43,Trinidad and Tobago,Latin America and Caribbean,6.168,3.285850901,2.34463294,3.367154068,2.394841776,0.1126356514,2016,3.664404233
43,44,Venezuela,Latin America and Caribbean,6.084,2.809847171,2.758936997,1.37923156,0.3187123077,0.7536877109,2016,3.840358389
44,45,Slovakia,Central and Eastern Europe,6.078,3.171862817,3.136115916,1.625515464,1.037652283,0.2674756363,2016,4.024974561
45,46,El Salvador,Latin America and Caribbean,6.068,2.16550096,2.656252343,2.589942108,0.6656962719,0.9632571863,2016,3.010329137
46,47,Malaysia,Southeastern Asia,6.005,3.101695331,2.77952741,2.712389128,3.110182177,0.8242097907,2016,3.272420158
47,48,Nicaragua,Latin America and Caribbean,5.992,1.71971064,2.906412484,3.237132288,2.23271095,1.478694627,2016,3.328035501
48,49,Uzbekistan,Central and Eastern Europe,5.987,1.823982845,2.235664199,4.228522294,2.57414557,2.57155996,2016,4.34253222
49,50,Italy,Western Europe,5.977,3.358298644,3.792825283,1.308348495,1.251152033,0.2319876913,2016,3.872515656
50,51,Ecuador,Latin America and Caribbean,5.976,2.411768758,3.057943658,2.798491204,0.755460656,1.637074331,2016,3.196172118
51,52,Belize,Latin America and Caribbean,5.956,2.17159817,2.030918842,3.56020618,1.776089952,0.9775975835,2016,2.552320431
52,53,Japan,Eastern Asia,5.921,3.420559585,4.077570186,3.249571571,0.7667093257,1.723116714,2016,3.942666827
53,54,Kazakhstan,Central and Eastern Europe,5.919,3.047192223,2.557578808,2.815864504,1.125691871,1.010362668,2016,3.551946738
54,55,Moldova,Central and Eastern Europe,5.897,1.714580061,2.331307111,1.751367651,1.499597651,0.1727201004,2016,3.090517837
55,56,Russia,Central and Eastern Europe,5.856,3.054256063,2.629110436,2.271176795,0.205175735,0.3254725591,2016,3.913186234
56,57,Poland,Central and Eastern Europe,5.835,3.08788986,3.077776414,3.140397753,1.083096908,0.4991910416,2016,3.89177284
57,57,South Korea,Eastern Asia,5.835,3.369526433,3.95072968,1.749004882,1.411633054,0.7003196504,2016,2.683886406
58,59,Bolivia,Latin America and Caribbean,5.822,1.968506549,2.0933586,3.541443016,1.627157565,0.7030425106,2016,3.114570729
59,60,Lithuania,Central and Eastern Europe,5.813,3.145763784,2.882390336,1.315436802,0.1518570407,0.1651868538,2016,3.955938671
60,61,Belarus,Central and Eastern Europe,5.802,2.802287622,2.812418588,2.02162671,1.045526352,1.584432366,2016,3.903223058
62,63,Slovenia,Central and Eastern Europe,5.768,3.220789209,3.527601161,3.694536537,1.930121736,0.3299198975,2016,3.926272198
63,64,Peru,Latin America and Caribbean,5.743,2.468676051,2.807516109,2.606134023,1.089396163,0.4803125441,2016,3.020738426
64,65,Turkmenistan,Central and Eastern Europe,5.658,2.677245246,1.96125907,2.599601663,1.692324858,2.583722069,2016,3.859504045
65,66,Mauritius,Sub-Saharan Africa,5.648,2.834756504,2.949910844,3.20676376,2.77099729,0.4722347254,2016,2.814039692
