,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
150,151,Ivory Coast,Sub-Saharan Africa,3.655,25.847036,12.93759679,69.57531033,25.33673418,31.45762264,2015,21.49680256
151,152,Burkina Faso,Sub-Saharan Africa,3.587,14.33712325,23.11045855,58.62966184,27.32447103,22.52339101,2015,11.92408707
152,153,Afghanistan,Southern Asia,3.575,17.76421338,25.84537364,34.75944857,45.8737498,17.05929218,2015,14.77437443
153,154,Rwanda,Sub-Saharan Africa,3.465,12.33530269,36.5200625,87.88733724,28.43142181,96.8741017,2015,10.25918665
154,155,Benin,Sub-Saharan Africa,3.34,15.92180528,27.18727124,71.92685071,22.94315726,14.05956686,2015,13.24205625
155,156,Syria,Middle East and Northern Africa,3.006,36.83705306,61.50832567,23.28381273,59.27903704,33.18479041,2015,30.63712438
156,157,Burundi,Sub-Saharan Africa,2.905,0.8498294813,19.08135778,17.59201612,24.78639996,17.66134354,2015,0.7067973508
157,158,Togo,Sub-Saharan Africa,2.839,11.59100759,24.23339253,54.11660452,20.95918983,18.83560699,2015,9.640161515
,1,Denmark,Western Europe,7.526,79.03325713,73.26202166,88.97719854,42.63459128,83.53286093,2016,74.68629869
1,2,Switzerland,Western Europe,7.509,83.72280418,79.52722197,89.92316,33.10130288,77.42569611,2016,73.49900898
2,3,Iceland,Western Europe,7.501,78.20443246,79.92346203,86.95474517,56.19783923,28.13993639,2016,75.93904978
3,4,Norway,Western Europe,7.498,86.46965635,73.33113331,91.53866566,44.66666214,67.22767042,2016,72.32198772
4,5,Finland,Western Europe,7.413,77.07082832,74.72442391,87.691858,30.0473031,77.0517497,2016,72.81872407
5,6,Canada,North America,7.404,78.94390633,76.26238822,88.10034138,52.84562951,58.8711898,2016,70.3453108
6,7,Netherlands,Western Europe,7.339,80.28855377,74.85343231,84.78486923,55.88902103,56.23665286,2016,66.04668028
7,8,New Zealand,Australia and New Zealand,7.334,74.58654694,76.57200836,89.29354279,58.2287314,78.74296458,2016,75.2664662
8,9,Australia,Australia and New Zealand,7.313,79.17852072,78.43710108,87.28183899,55.87841277,60.7540757,2016,70.90109074
9,10,Sweden,Western Europe,7.291,79.5830661,76.59504556,89.40257406,45.08981379,76.79430921,2016,69.80236643
